Name,Image,Street,Address,City,County,State,Zip,Website,Phone,Email,Insurance,Medicaid,Medicare,Uninsured,Self-Pay,SlidingScale,Methadone,Suboxone,Residential,Outpatient,Detox,Alcohol,DUI,Family,Group,Individual,ParentsandChildren,Pregnant,Adolescent,TransitionalLiving,DualDiagnosis,Other,Hours,Medical,Referral,Additional,Reviewed
Addiction Recovery Care Association (ARCA),http://www.halfwayhouses.us/gallery/36_h1-resized-image-600x400.jpg,1931 Union Cross Road,,Winston Salem,Forsyth,NC,27107,http://www.arcanc.org ,877-615-2722,info@arcanc.org,Private Insurance,No Medicaid,No Medicare,Uninsured,Self-Pay,Sliding Scale,Methadone,Suboxone,Residential,No Outpatient,Detox,Alcohol Treatment,DUI,Family ,Group,Individual,Parents and Children,Pregnant,No Adolescents,No Transitional Living,Dual Diagnosis,,24/7,Medical,Not required,,10/22/2017
Alcohol and Drug Services Randolph County,http://www.adsyes.org/wp-content/uploads/2013/06/ads-asheboro.jpg,842 East Pritchard Street,,Asheboro,Randolph,NC,27203,http://www.adsyes.org,336-633-7257,counselor@adsyes.org,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,Methadone,No Suboxone,No Residential,Outpatient,No Detox,Alcohol Treatment,DUI,Family,Group,Individual,No Parents and Children,Pregnant,No Adolescents,No Transitional Living,Dual Diagnosis,,MWF 12-3pm,Medical,Not required,,3/16/2018
Alcohol and Drug Services (ADS) Guilford County,http://www.elderfitpt.com/files/photos/guilford/20140703_082702.jpg,301 East Washington Street,Suite 101,Greensboro,Guilford,NC,27401,http://www.adsyes.org,336-333-6860,counselor@adsyes.org,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,Methadone,No Suboxone ,No Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family ,Group,Individual,No Parents and Children,Pregnant,No Adolescents,No Transitional Living,Dual Diagnosis,,M-F at 6:00am Sat & Sun at 6:30am Non-opioid walk-in on Tuesdays 9:00am-11:30am or call to make an appointment ,Doctors on site  ,Not required,,10/22/2017
Asha Bs Closet,http://www.hipaaspace.com/medical_billing/coding/npi/codes/npi_1942641683.png,315 South Long Drive,Suite C,Rockingham,Richmond,NC,28379,http://www.ashabscloset.com,910-434-8178,ashabscloset@ashabscloset.com,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,No Residential,Outpatient,Detox Unknown,Alcohol Treatment Unknown,DUI,Family,Group,Individual,No Parents and Children,Pregnant,Adolescents,Transitional Living Unknown,Dual Diagnosis,,M-F 8am-5pm,Unknown,Unknown,,3/16/2018
Bright Heart Health,https://www.brighthearthealth.com/wp-content/uploads/final-logo-bsmall.png,1150 Revolution Mill Drive,,Greensboro,Guilford,NC,27405,https://www.brighthearthealth.com/contact-us/opioid-treatment-in-north-carolina/,919-230-1232,jciampi@brighthearthealth.com,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,Methadone,Suboxone,No Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family,Group,Individual,No Parents and Children,Pregnant,No Adolescents,No Transitional Living,Dual Diagnosis,"Application: Complete new client form, complete informed consents, receive appointment. They are telemedicine so patiennts do not need to travel to appointments.","24/7 assistance, appointments 8am-9pm",Medical,Not required,Opiate Drug Detox Treatment Center,3/16/2018
Cardinal Innovations,http://www.charlotteobserver.com/news/local/i506e8/picture21375675/alternates/LANDSCAPE_1140/Cardinal%20building,550 S Caldwell Street,,Charlotte,Mecklenburg,NC,28202,https://www.cardinalinnovations.org/clinical-operations/contact-us,704-939-7700,UtilizationM@cardinalinnovations.org,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,"Does not provide services, only referrals to providers. ",3/16/2018
Cardinal Innovations Healthcare,http://www.wschronicle.com/wp-content/uploads/2017/12/Cardinal-680x365_c.jpg,4045 University Parkway,,Winston-Salem,Forsyth,NC,27106,https://www.cardinalinnovations.org/contact-us,336-714-9111,UtilizationM@cardinalinnovations.org,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,"Does not provide services, only referrals to providers. ",3/16/2018
Cardinal Innovations Healthcare,http://www.wschronicle.com/wp-content/uploads/2017/12/Cardinal-680x365_c.jpg,4855 Milestone Avenue,,Kannapolis,Cabarrus,NC,28081,https://www.cardinalinnovations.org/contact-us,704-939-7590,UtilizationM@cardinalinnovations.org,Insurance Unknown,Medicaid Unknown,Medicare Unknown,Uninsured Unknown,Self-Pay Unknown,Sliding Scale Unknown,Methadone Unknown,Suboxone Unknown,Residential Unknown,Outpatient Unknown,Detox Unknown,Alcohol Treatment Unknown,DUI Unknown,Family Unknown,Group Unknown,Individual Unknown,Parents and Children Unknown,Pregnant Unknown,Adolescents Unknown,Transitional Living Unknown,Dual Diagnosis Unknown,,Unknown,Unknown,Unknown,"Does not provide services, only referrals to providers. ",3/16/2018
Caring Services,https://s3-media3.fl.yelpcdn.com/bphoto/bEF5B7T_JJv0vJR_4HJ-uQ/l.jpg,102 Chestnut Drive,,High Point,Guilford,NC,27262,http://www.caringservices.org,336-886-5594,info@caringservices.org,Private Insurance,Medicaid,Medicare,Uninsured,Self-Pay,Sliding Scale,No Methadone,No Suboxone ,Residential,Outpatient,Detox,Alcohol Treatment,DUI,Family ,Group,Individual,No Parents and Children,No Pregnant,No Adolescents,Transitional Living,Dual Diagnosis,,M-F 9am,No ,Not required.  Eligibility screenings M-F,,10/22/2017
Carolina Behavioral Care,https://carolinabehavioralcare.com/wp-content/themes/carolina-behavioral-care/images/logo-image.png,209 Millstone Drive,Suite A,Hillsborough,Orange,NC,27278,https://carolinabehavioralcare.com/,919-245-5400,rmillet@carolinabehavioralcare.com,Private Insurance,Medicaid,Medicare,Uninsured,Self pay,Sliding Scale,No Methadone,No Suboxone ,No Residential,Outpatient,Detox,Alcohol Treatment,DUI Unknown,Family,Group,Individual,No Parents and Children,Pregnant Unknown,Adolescents,Transitional Living Unknown,Dual Diagnosis,,M-F 8am-5pm,Unknown,Unknown,,3/16/2018
